organization,address,city_state_zipcode,office_type
Capital Farm Credit,8 E Palm Street,"Bellville, TX 77418",Branch
Texas Farm Credit Services,1301 Highway 290 E,"Brenham, TX 77833",Branch
Central Texas Farm Credit,550 S 2nd St,"Haskell, TX 79521",Branch
AgTexas Farm Credit Services,1502 W. 1st St.,"Hereford, TX 79045",Branch
Capital Farm Credit,1760 East State Hwy 97,"Jourdanton, TX 78026",Branch
Capital Farm Credit,1001 Sidney Baker Street,"Kerrville, TX 78028",Branch
Capital Farm Credit,456 N Jefferson,"LaGrange, TX 78945",Branch
Capital Farm Credit,1601 W American Blvd,"Muleshoe, TX 79347",Branch
Capital Farm Credit,151 S Munday Avenue,"Munday, TX 76371",Branch
Texas Farm Credit Services,802 W. Oaklawn,"Pleasanton, TX 78064",Branch
Capital Farm Credit,2704 Medical Parkway,"Taylor, TX 76574",Branch
Capital Farm Credit,702 W 5th Street,"Clifton, TX 76634",Branch
AgTrust Farm Credit,4411 South Interstate 35,"Georgetown, TX 78626",Branch
Capital Farm Credit,403 N Sunset Strip Hwy 181,"Kenedy, TX 78119",Branch
Texas Farm Credit Services,16011 Via Shavano,"San Antonio, TX 78249",Branch
Capital Farm Credit,"2330 Loop 1604 West, Ste. 110","San Antonio, TX 78248",Branch
AgTrust Farm Credit,400 E 3rd St,"Sweetwater, TX 79556",Branch
Capital Farm Credit,2115 Bird Creek Terrace,"Temple, TX 76533",Branch
Capital Farm Credit,108 W Avenue E,"Alpine, TX 79830",Branch
Capital Farm Credit,2013 Avenue C,"Bay City, TX 77414",Branch
Capital Farm Credit,3902 S Traditions Drive,"College Station, TX 77845",Branch
Capital Farm Credit,1807 North Mechanic,"El Campo, TX 77437",Branch
Capital Farm Credit,707 Bailey Street,"Matador, TX 79244",Branch
AgTrust Farm Credit,516 James Bowie Dr,"New Boston, TX 75570",Branch
AgTexas Farm Credit Services,104 I-27 Frontage,"Plainview, TX 79072",Branch
Plains Land Bank,3102 W 7th ST,"Plainview, TX 79072",Branch
Texas Farm Credit Services,1305 Shannon RD E,"Sulphur Spgs, TX 75482-3043",Branch
Capital Farm Credit,"1217 E. S. 11th, Suite A","Abilene, TX 79602",Branch
Central Texas Farm Credit,1026 Early Blvd,"Early, TX 76802",Branch
Capital Farm Credit,"101 N Pierce St, Suite 1","Burnet, TX 78611",Branch
Central Texas Farm Credit,215 West Elm Street,"Coleman, TX 76834",Branch
Capital Farm Credit,808 N Wells Street,"Edna, TX 77957",Branch
AgTrust Farm Credit,413 S Western Ave,"Lampasas, TX 76550",Branch
Capital Farm Credit,1420 S Colorado,"Lockhart, TX 78644",Branch
AgTexas Farm Credit Services,3145 W. Washington,"Stephenville, TX 76401",Branch
Texas Farm Credit Services,7185 I-10 South,"Beaumont, TX 77705",Branch
Capital Farm Credit,907 W Clayton FM 1960,"Dayton, TX 77535",Branch
Capital Farm Credit,105 W Bedford,"Dimmitt, TX 79027",Branch
Capital Farm Credit,"8122 West Expressway 83, Suite 1","Harlingen, TX 78552",Branch
Texas Farm Credit Services,137 S Eighth,"Raymondville, TX 78580",Branch
Capital Farm Credit,"708 Hwy 59 N, Suite A","Bowie, TX 76230",Branch
Capital Farm Credit,Highway 83 North,"Childress, TX 79201",Branch
AgTexas Farm Credit Services,301 Highway 114,"Levelland, TX 79336",Branch
Capital Farm Credit,613 Avenue G,"Levelland, TX 79336",Branch
Central Texas Farm Credit,1021 S Koenigheim,"San Angelo, TX 76903",Branch
Capital Farm Credit,1701 W Loop 306,"San Angelo, TX 76904",Branch
Central Texas Farm Credit,203 S Blackburn St,"Brady, TX 76825",Branch
Central Texas Farm Credit,1414 N. Austin,"Comanche, TX 76442",Branch
Texas Farm Credit Services,200 N Dixon ST,"Gainesville, TX 76240-3957",Branch
Texas Farm Credit Services,2790 Virginia Pkwy,"McKinney, TX 75071",Branch
Capital Farm Credit,475 Oxford Drive,"New Braunfels, TX 78130",Branch
Central Texas Farm Credit,110 North High Street,"San Saba, TX 76877",Branch
Capital Farm Credit,501 Alan L Bean Blvd,"Wheeler, TX 79096",Branch
Capital Farm Credit,207 S Berkshire,"Crosbyton, TX 79322",Branch
AgTexas Farm Credit Services,6901 Quaker Avenue,"Lubbock, TX 79413",Branch
AgTrust Farm Credit,3441 North FM 1417,"Sherman, TX 75092",Branch
Texas Farm Credit Services,112 E Hwy 82,"Bonham, TX 75418",Branch
AgTrust Farm Credit,210 N Ridgeway,"Cleburne, TX 76033",Branch
Capital Farm Credit,201 W 5th Street,"Dalhart, TX 79022",Branch
Texas Farm Credit Services,6174 Sherry LN,"Dallas, TX 75225-6314",Branch
AgTrust Farm Credit,3905 Morse St,"Denton, TX 76208",Branch
AgTexas Farm Credit Services,1315 E 1st,"Dumas, TX 79029",Branch
Capital Farm Credit,"8340 Gateway East, Suite 208","El Paso, TX 79907",Branch
Texas Farm Credit Services,6451 Camp Bowie Blvd,"Fort Worth, TX 76116",Branch
AgTrust Farm Credit,5600 Clearfork Main St,"Fort Worth, TX 76109",Branch
Capital Farm Credit,1400 W Park Avenue,"Hereford, TX 79045",Branch
AgTrust Farm Credit,219 E Franklin St,"Hillsboro, TX 76645",Branch
AgTrust Farm Credit,655 Clarksville St,"Paris, TX 75460-5933",Branch
Capital Farm Credit,"10410 Medical Loop, Suite 5D","Laredo, TX 78045",Branch
Capital Farm Credit,424 N Hobart,"Pampa, TX 79066",Branch
Capital Farm Credit,515 Sterley,"Spur, TX 79370",Branch
AgTexas Farm Credit Services,1316 Corsicana Hwy,"Hillsboro, TX 76645",Branch
AgTrust Farm Credit,101 East Rd,"Stephenville, TX 76401",Branch
Texas Farm Credit Services,244 N Getty,"Uvalde, TX 78801",Branch
AgTrust Farm Credit,112 S 15th St,"Corsicana, TX 75110",Branch
Capital Farm Credit,607A N 1st Street E,"Haskell, TX 79521",Branch
Capital Farm Credit,1725 Deaf Smith,"Vernon, TX 76385",Branch
Texas Farm Credit Services,435 West IH-45,"Fairfield, TX 75840",Branch
Capital Farm Credit,245 US Hwy 90 E,"Hondo, TX 78861",Branch
Capital Farm Credit,26611 SW Freeway,"Rosenberg, TX 77471",Branch
AgTexas Farm Credit Services,2015 Hobbs Hwy,"Seminole, TX 79360",Branch
Capital Farm Credit,"150 East Main St., Suite 310","Fredricksburg, TX 78624",Branch
Capital Farm Credit,5715 50th Street,"Lubbock, TX 79493",Branch
Legacy Ag Credit,1261 Hwy 271 South,"Gilmer, TX 75645",Branch
Plains Land Bank,506 S Main,"Perryton, TX 79070",Branch
Texas Farm Credit Services,205 S. Palestine St.,"Athens, TX 75751",Branch
Capital Farm Credit,5900 Southwest Pkwy,"Austin, TX 78735",Branch
Capital Farm Credit,203 N 2nd Street,"Canadian, TX 79014",Branch
Capital Farm Credit,4704 S Jackson,"Edinburg, TX 78539",Branch
Texas Farm Credit Services,555 S International Blvd,"Weslaco, TX 78596",Branch
Texas Farm Credit Services,"5901 Wesley St., Ste. 102","Greenville, TX 75402",Branch
AgTexas Farm Credit Services,117 S. Burleson Blvd.,"Burleson, TX 76028",Branch
Texas Farm Credit Services,6540 Alliance DR Ste 130,"Rockwall, TX 75032",Branch
Legacy Ag Credit,1541 State Highway 34 S,"Terrell, TX 75160",Branch
Capital Farm Credit,431 Ft McKavitt Street,"Mason, TX 76856",Branch
Capital Farm Credit,101 Jolley Street,"Uvalde, TX 78801",Branch
Capital Farm Credit,504 Phelps Avenue,"Littlefield, TX 79336",Branch
Capital Farm Credit,335 N May,"Madisonville, TX 77864",Branch
Capital Farm Credit,502 S Main Street,"Perryton, TX 79070",Branch
AgTrust Farm Credit,337 Enterprise Drive,"Hewitt, TX 76643",Branch
Capital Farm Credit,1801 W White Oak Terrace,"Conroe, TX 77304",Branch
Texas Farm Credit Services,8505 Technology Forest Place,"The Woodlands, TX 77381",Branch
AgTrust Farm Credit,155 East BB Fielder Road,"Weatherford, TX 76087",Branch
Capital Farm Credit,2400 Highway 190 W,"Livingston, TX 77351",Branch
Texas Farm Credit Services,17752 Highway 69 North,"Lindale, TX 75771",Branch
AgTrust Farm Credit,4449 Loop 322,"Abilene, TX 79602",Branch
Capital Farm Credit,115 N Armstrong,"Tulia, TX 79088",Branch
AgTexas Farm Credit Services,121 W Broadway,"Brownfield, TX 79316",Branch
Legacy Ag Credit,335 West Dallas Street,"Canton, TX 75103",Branch
Capital Farm Credit,1260 Pin Oak Road,"Katy, TX 77494",Branch
Capital Farm Credit,1501 E Mockingbird LN Ste 100a,"Victoria, TX 77904",Branch
Western AgCredit,2195 North Main,"North Logan, UT 84341",Branch
Western AgCredit,63 East 600 North,"Richfield, UT 84701",Branch
Western AgCredit,10980 South Jordan Gateway,"South Jordan, UT 84095",Branch
Western AgCredit,727 South Main,"Spanish Fork, UT 84660",Branch
Western AgCredit,781 E Main,"Tremonton, UT 84337",Branch
Western AgCredit,848 Front St,"Evanston, WY 82930",Branch
Western AgCredit,55 S 1500 E,"Ballard, UT 84066",Branch
Farm Credit of the Virginias,1445 East Rio Rd,"Charlottesville, VA 22901",Branch
Colonial Farm Credit,1700-A S Main St,"Farmville, VA 23901",Branch
Colonial Farm Credit,22776 Timberlake Rd,"Lynchburg, VA 24502",Branch
Farm Credit of the Virginias,38 Murray Farm Rd,"Roanoke, VA 24019",Branch
Farm Credit of the Virginias,1356 B American Way Ct,"Bedford, VA 24523",Branch
Farm Credit of the Virginias,"27 Fort Evans Rd, NE","Leesburg, VA 20176",Branch
Farm Credit of the Virginias,1557 Commerce Rd,"Verona, VA 24482",Branch
Farm Credit of the Virginias,660 Peppers Ferry Rd,"Wytheville, VA 24382",Branch
Farm Credit of the Virginias,19292 Lee Hwy,"Abingdon, VA 24210",Branch
Colonial Farm Credit,201 E Danville St,"South Hill, VA 23970",Branch
Colonial Farm Credit,135 Queen ST,"Tappahannock, VA 22560",Branch
Farm Credit of the Virginias,15574 Ira Hoffman Lane,"Culpeper, VA 22701",Branch
Colonial Farm Credit,7104 Mechanicsville Turnpike,"Mechanicsville, VA 23111",Branch
Colonial Farm Credit,18639 Eltham Rd,"West Point, VA 23181",Branch
Farm Credit of the Virginias,516 Fauquier Rd,"Warrenton, VA 20186",Branch
Colonial Farm Credit,2987 River Road West,"Goochland, VA 23063",Branch
Farm Credit of the Virginias,670 Old Franklin Turnpike,"Rocky Mount, VA 24151",Branch
Colonial Farm Credit,22323 Main St,"Courtland, VA 23837",Branch
Farm Credit of the Virginias,13284 James Madison Hwy,"Orange, VA 22960",Branch
Farm Credit of the Virginias,4024 Halifax Rd,"South Boston, VA 24592",Branch
Farm Credit of the Virginias,19651 US Hwy 29,"Chatham, VA 24531",Branch
Colonial Farm Credit,11295 Windsor Blvd,"Windsor, VA 23487",Branch
Colonial Farm Credit,428 E Main St,"Waverly, VA 23890",Branch
Farm Credit of the Virginias,152 Maury River Rd,"Lexington, VA 24450",Branch
Farm Credit of the Virginias,4646 S Valley Pike,"Harrisonburg, VA 22801",Branch
AgWest Farm Credit,"201 W. Broadway Ave, Ste B","Ritzville, CA 99169-1846",Branch
AgWest Farm Credit,1501 E Yonezawa Blvd,"Moses Lake, WA 98837-8826",Branch
AgWest Farm Credit,9915 Saint Thomas Drive,"Pasco, WA 99301-8094",Branch
AgWest Farm Credit,2580 Chester Kimm Road,"Wenatchee, WA 98801",Branch
AgWest Farm Credit,301 South Main Street,"Colfax, WA 99111-1802",Branch
AgWest Farm Credit,1 W Pine Street,"Walla Walla, WA 99362-1838",Branch
AgWest Farm Credit,629 S Market Blvd,"Chehalis, WA 98532-3417",Branch
AgWest Farm Credit,1360 N 16th Ave,"Yakima, WA 98902-7108",Branch
AgWest Farm Credit,265 E George Hopper Rd,"Burlington, WA 98233-3105",Branch
AgWest Farm Credit,2735 Allen Rd,"Sunnyside, WA 98944-8923",Branch
Farm Credit of the Virginias,527 E Main ST # 104,"Bridgeport, WV 26330",Branch
Farm Credit of the Virginias,2112 Ripley Rd,"Ripley, WV 25271",Branch
Farm Credit of the Virginias,14428 Seneca Trail N,"Lewisburg, WV 24901",Branch
Farm Credit of the Virginias,550 South Main Street,"Moorefield, WV 26836",Branch
Farm Credit of the Virginias,452 N High St,"Romney, WV 26757",Branch
GreenStone Farm Credit Services,340 Patriot Dr.,"Little Chute, WI 54140",Branch
Compeer Financial,1430 Northridge Dr,"Prairie du Sac, WI 53578",Branch
AgCountry Farm Credit Services,204 East Liberty Drive,"Thorp, WI 54771",Branch
GreenStone Farm Credit Services,"3030 Park Dr., Ste. B","Sturgeon Bay, WI 54235",Branch
Compeer Financial,2600 Jenny Wren Trail,"Sun Prairie, WI 53590",Branch
Compeer Financial,N5776 Cth D,"Fond du Lac, WI 54936",Branch
Compeer Financial,9185 Old Potosi Rd,"Lancaster, WI 53813",Branch
Compeer Financial,3448 State Rd 23,"Dodgeville, WI 53533",Branch
Compeer Financial,815 Wright Road,"Johnson Creek, WI 53038",Branch
GreenStone Farm Credit Services,"4400 Calumet Ave., Ste. 102","Manitowoc, WI 54220",Branch
GreenStone Farm Credit Services,280 S. Main St.,"Clintonville, WI 54929",Branch
GreenStone Farm Credit Services,202 Sado Ln.,"Coleman, WI 54112",Branch
AgCountry Farm Credit Services,611 South 32nd Avenue,"Wausau, WI 54402",Branch
Compeer Financial,1705 Hwy 14 West,"Janesville, WI 53547",Branch
AgCountry Farm Credit Services,600 S 8th Street,"Medford, WI 54451",Branch
AgCountry Farm Credit Services,1216 Wildwood Dr,"Stevens Point, WI 54482",Branch
AgCountry Farm Credit Services,1207 N Central Ave,"Marshfield, WI 54449-7080",Branch
Farm Credit Services of America,1401 Wilkins Circle,"Casper, WY 82601",Branch
